sample_id,CD8_T_cells,T_helper_cells,Tregs,B_cells,Macrophages,NK_cells,Dendritic_cells,Neutrophils,Monocytes,Immune_Checkpoint,molecular_subtype
GSE213504_GSM6588284,-0.3343811848996071,-0.18013137778692687,-0.06662137843402459,-0.2047531424985376,-0.16932363627381486,-0.09221951541729628,-0.43534177231602844,-0.1024517900990003,-0.18552087416635324,-0.17226692486868975,C3
GSE229701_GSM7173418,-0.3995801001514361,-0.22961836237824948,-0.14231691835689012,6.925944777326384e-4,-0.12307524010713189,-0.04868716732141113,-0.40852160152150774,-0.25062616156614315,-0.09556927910009166,-0.14969942548559848,C3
GSE229701_GSM7173419,-0.3988456705593026,-0.2322601937457846,-0.12989821781273955,-0.030260660812988213,-0.12444776281062822,-0.046603555597533146,-0.40803559842657344,-0.25099813059778053,-0.11944380937179552,-0.2180315317525105,C3
GSE229701_GSM7173420,-0.30624042825104597,-0.10087663951867169,-0.12580247263859004,-0.08592108865433058,-0.06088020313062833,-0.04609241197385649,-0.4083956007191173,-0.2507751037355827,-0.11502512890632828,-0.2161716678983322,C3
GSE229701_GSM7173421,-0.3100949399008266,-0.10498837558006317,-0.22026336515627723,-0.09499435858621967,-0.21963170847094596,0.021179075618758078,-0.40026854896493874,-0.2577836007633087,-0.10823166110529267,-0.22417687843717904,C3
GSE229701_GSM7173422,-0.29614257915163567,-0.10491490187952732,-0.22100970474318374,-0.07630117054537848,-0.12724608734307347,0.010923684593421959,-0.4028875656431956,-0.25764535876463035,-0.11461315992632574,-0.2278428381741583,C3
GSE229701_GSM7173423,-0.39052933547190904,-0.08894319667043818,-0.23023484970482322,-0.09103695213209793,-0.2365520391962273,-0.043586692575198004,-0.3995035440932829,-0.2575829188281905,-0.13797797412490337,-0.2242492897228983,C3
GSE229701_GSM7173424,-0.3979960363252659,-0.22905170506243544,-0.1469749777324911,-0.016542646525298584,-0.05981366130754108,-0.046195182038217986,-0.40715359280984087,-0.24971934597166393,-0.11214413964891477,-0.10809220773452936,C3
GSE229701_GSM7173425,-0.3995224978304845,-0.0975918237058575,-0.2086071660514025,-0.013858326684166576,-0.023542431658716476,-0.04761915866464039,-0.40871060272509324,-0.24795298433952218,-0.09411055918085498,-0.15367536155492217,C3
GSE229701_GSM7173426,-0.2955263104142845,-0.22734613236989498,-0.21929586689632397,0.005348997366939405,-0.09416932338268696,0.008708899690528505,-0.3988555399667039,-0.24739110277860463,-0.1357704834392529,-0.05807837160208046,C3
GSE229701_GSM7173427,-0.3922502048103394,-0.2340162398958307,-0.22009546796547017,-0.12816204160759875,-0.10045568488790653,-0.03634596437524058,-0.40128555544137523,-0.2576852664196081,-0.15729784352622414,-0.14310452543818505,C3
GSE229701_GSM7173428,-0.3118528966020471,-0.07646008687064562,-0.14538108914292527,-0.1256609686102892,-0.1776258558153705,0.027685250830129716,-0.4026805643249829,-0.2567926069687311,-0.16725222177795138,-0.09097446172155436,C3
GSE229701_GSM7173429,-0.29801428130901847,-0.10285676268257976,-0.13735078868837763,-0.10060247290181237,-0.13696029920084793,-0.03696942283629873,-0.4054885822068253,-0.25450917494112574,-0.11756055148202149,-0.17268044515029685,C3
GSE229701_GSM7173430,-0.3962103643757649,-0.2336592932202282,-0.1273674261301086,-0.011966636492940497,-0.10040007146746238,0.0056806766236289505,-0.4054615820348845,-0.2583643416146967,-0.09037558983118033,-0.2829169935561622,C3
GSE229701_GSM7173431,-0.39848565605335484,-0.10101297229184836,-0.12385066492379951,-0.02313616924132672,-0.12626927047386938,-0.04707035811091424,-0.408089598770455,-0.2538421568160218,-0.11527425495182418,-0.22094381817622655,C3
GSE229701_GSM7173432,-0.397974435454909,-0.08489141982709703,-0.13715024566068917,-0.030114717946172893,-0.2263465706565353,0.008984375521073753,-0.40688359109043293,-0.25603342868576345,-0.11407821278440451,-0.1448505688218662,C3
GSE229701_GSM7173433,-0.31409383705125066,-0.23160037997450394,-0.11083315398491803,-0.07301116112602202,-0.13222402562906133,-0.06785797620114907,-0.40682059068923776,-0.25622471844025296,-0.12339170135259563,-0.21235858279112027,C3
GSE229701_GSM7173434,-0.39968810450322045,-0.10088790429989064,-0.03726384692220316,-0.07728795199665098,-0.11837290006338838,-0.06578412660461283,-0.4089086039859924,-0.25252929250828876,-0.10297912789194678,-0.1933394390104998,C3
GSE229701_GSM7173435,-0.39703839773944477,-0.05284518055786315,-0.1123893455019137,-0.0916895821980108,-0.21666461111143123,-0.061496742384920644,-0.4060465857602683,-0.25683047168974543,0.02325823980651972,-0.08719255531660149,C3
GSE229701_GSM7173436,-0.3990040769419197,-0.10156870327108468,-0.12362770833529961,-0.08429078347852383,-0.08497602163624024,-0.006479739405617491,-0.40819759945821815,-0.2553826819958186,-0.10336435469799268,-0.19278427949775243,C3
GSE229701_GSM7173437,-0.3964551742398094,-0.23323002710714835,-0.12356237875263433,-0.06796313897532437,-0.14688448579229005,-0.005364776617610483,-0.4052455806593582,-0.258345123531576,-0.1260877011019635,-0.08551296428558076,C3
GSE229701_GSM7173438,-0.3913069668047563,-0.23454441386333058,-0.10394273409346137,-0.07733949344654949,-0.12198829548870982,-0.06396279913621981,-0.40004354753209875,-0.0320455527323049,-0.11434379154521501,-0.20559323112716268,C3
GSE229701_GSM7173439,-0.39991131349690806,-0.23127197846677056,-0.11222455614676281,-0.04471548270687515,-0.1149135422476643,-0.004266807544736772,-0.3049756074970917,-0.2522893943610443,-0.11614947799543258,-0.12669855914355319,C3
GSE229701_GSM7173440,-0.3829042282359352,-0.22489287093876534,-0.053530995332080805,-0.004895266319889408,-0.14762452745443191,-0.0033673502227053852,-0.39172749457433464,-0.11532818823726605,-0.1071409850622096,-0.12946170272712754,C3
GSE229701_GSM7173441,-0.37783522399219044,-0.10135111030101748,-0.031072292900759427,-0.06184162533297248,-0.14150620965820654,-0.05927683890475774,-0.29477350724219725,-0.24421647964410817,-0.09498293115800771,-0.12563885064992147,C3
GSE229701_GSM7173442,-0.29964203546494433,-0.10202327037490724,-0.13945432786885223,-0.0941593395258211,-0.05021200608187456,-0.04641280921834471,-0.4093496067943587,-0.25145359624279057,0.0053031387626502925,-0.1590164841253009,C3
GSE229701_GSM7173443,-0.39780882878217305,-0.22609713791123223,-0.05032467431661745,-0.06930239410517385,-0.0843041365505393,-0.045690653723582074,-0.4065955892563978,-0.24687973799770596,-0.0027966727053548683,-0.10329717026152696,C3
GSE229701_GSM7173444,-0.3158442545751708,-0.22687699096358876,-0.21254659904838424,-0.08502262263359792,-0.14672198316655358,-0.04634981499526221,-0.4094576074821218,-0.24849855868201545,0.014360290454841463,-0.15113771631748382,C3
GSE229701_GSM7173445,-0.39968090421310154,-0.2297331622655892,-0.14228693913861584,-0.10221998910461903,-0.09715238426435249,0.002343627420377196,-0.40898960450181476,-0.25436916068624793,-0.19445147297516413,-0.1017865411762524,C3
GSE229701_GSM7173446,-0.3669915870730434,-0.07525835827263856,-0.05565154778932616,-0.07674543832562804,-0.14085859630923317,-0.059154183159752134,-0.3762113957656923,-0.2367006946673496,-0.008404869960935613,-0.09662522679795321,C3
GSE229701_GSM7173447,-0.2998246679287716,-0.10353524754500254,-0.12154685208777752,-0.07974205518155567,-0.06619343398665568,-0.06206730913419809,-0.39354550615168127,-0.24723191486474944,-0.12496015097639693,-0.12059878942926205,C3
GSE235092_GSM8181061,0.013920836274364098,0.07509128452523393,0.08517127905104459,-0.13839482085839816,0.1944356069223835,0.15599038426572825,0.008351413829537644,-0.17617011914366193,-0.11271807866216413,0.06880356425963324,C3
GSE235092_GSM8181062,0.2559380701474672,0.22134137730328302,0.2761032719259249,0.033860089374653526,0.4115471024289067,0.18085747437319474,0.092891798024932,0.02772264862632977,0.2557565255332367,0.2540428251482196,C3
GSE235092_GSM8181056,-0.2985350343851232,0.07640314576479544,-0.031183217721668106,-0.417691125153009,0.3391779448591264,0.19888840071727165,0.05409071890503739,-0.47580151704908047,0.20320230450625476,-0.04771653199116008,C3
GSE235092_GSM8181050,0.03985528306638079,0.1580423252171526,0.03732419405521414,-0.0029231273851626337,0.34751952458783514,0.17632295063025297,-0.276933403465552,-0.18814009726134953,0.14823054085951515,0.058252788788769126,C3
GSE235092_GSM8181057,-0.08495385704852426,0.2349398745069607,0.00593876029649237,-0.14222279435694274,0.34736912230309486,0.20230280169835088,0.10305309807412073,0.04672305250355036,0.10168786873943496,0.10805145743511535,C3
GSE235092_GSM8181051,-0.17950291190467166,0.01749485383958033,0.02881584595314849,-0.3051557790736677,0.1260972581687824,0.17637708089676163,-0.03733841030516424,-0.0879518802885994,-0.033915907670285024,-0.04532996868437581,C3
GSE235092_GSM8181052,-0.12102226132409631,0.09466072999859673,0.004607392190828009,-0.17404282656917555,0.3020000186543372,0.21072019693596333,0.00338325576267407,-0.18826900108866879,0.0848938088108554,-0.0851632662265904,C3
GSE235092_GSM8181059,-0.3997169056636963,0.0655971846289276,-0.2151629394568595,-0.03960213144500316,0.23020977253994615,-0.03836260912896721,-0.11962668172563884,-0.43620924881804,-0.07682539765811325,-0.14948637051585606,C3
