Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
RPL3P4,-1.2853907887599192,4.7349909355227755,-3.2417775214673155,0.0013187602234918001,0.00266180817121469,-3.5184599087668067
SOCS3,0.627963483696341,5.213128542978101,3.241267085120817,0.0013210447393387154,0.0026661567270890724,-3.5200644010019477
RBMS3-AS3,0.933424471612919,2.0816679846501622,3.2412557449808754,0.0013210955350672355,0.0026661567270890724,-3.5201000446220254
ZFYVE1,-0.2851431793256034,6.091772667256712,-3.2401693033873165,0.0013259704244837692,0.002675811765638031,-3.5235143400933655
CSF3,0.5752462166453626,0.9737658729174694,3.2397876112986417,0.0013276870415593626,0.00267909251692071,-3.5247136074552348
ARTN,0.5594844755009512,2.208521167288387,3.239557619538098,0.0013287223981819885,0.002680998221942592,-3.5254361723421592
BCKDHA,0.8307722206030927,2.869619557904495,3.239249505469265,0.001330110612166034,0.0026836155870015635,-3.5264040989427636
TMEM238,0.7948078683796354,2.860817517853508,3.238828776649975,0.0013320083860271124,0.0026872606055201053,-3.527725660921017
ABHD12B,-0.7364573414853166,2.330361727267416,-3.2379636059917516,0.0013359187873770745,0.0026949652231191687,-3.5304427667235467
C14orf166,-0.5190248567283704,6.73607071583018,-3.236192355593805,0.0013439577127682355,0.002710996738290821,-3.5360033405796214
SERHL2,0.7529728655696628,3.8216066693021844,3.236109276572767,0.001344335870674671,0.0027115740150082087,-3.5362640848925784
ELMO2,-0.1936165024064076,7.0133833677415724,-3.2348451041449975,0.0013501022967930122,0.0027230188008315515,-3.540230931022484
GRB10,0.6542708291278365,6.549781875737593,3.2341310369478093,0.001353369585085708,0.0027294218592086306,-3.542470962446049
ITLN2,-0.4394012219658306,0.6372302297367659,-3.2333699069997803,0.0013568602829701192,0.0027362745743376485,-3.544858121363329
PRKX,-0.6978226592973895,5.822371800094748,-3.2329134035618776,0.0013589579032361166,0.0027403172329209273,-3.546289617567326
CSK,0.23549064564646516,6.483279551089807,3.232580978802436,0.0013604872764795338,0.002743213555700235,-3.5473319110421455
REG3A,0.454628135710926,0.45099586123206675,3.2315161045916154,0.0013653971479209014,0.0027529252713620633,-3.5506700721282334
